Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	Importancia		0.314049587		Etiquetas de fila	Suma de Importancia	Suma de Importancia2		Etiquetas de fila	Suma de Importancia	Suma de Importancia2
Cliente21	30/07/2017	2	1700	VER0038	Pimentón Rojo / Libra	3400										
Cliente21	30/07/2017	1	400	VER0017	Cilantro / 100 gramos	400										
Cliente21	30/07/2017	4	2100	VER0013	Cebolla Cabezona Roja / Libra	8400										
Cliente21	30/07/2017	1	1200	VER0005	Apio / Libra	1200										
Cliente21	30/07/2017	8	1700	VER0009	Brócoli / Libra	13600										
Cliente21	30/07/2017	3	3000	FRU0042	Piña Golden Sweet / Unidad	9000										
Cliente21	30/07/2017	1	2500	FRU0033	Mora Castilla / Libra	2500										
Cliente21	30/07/2017	1	2000	FRU0036	Papaya Hawaiana / Unidad	2000										
Cliente21	30/07/2017	4	3000	FRU0057	Fresa Jumbo / Libra	12000										
Cliente29	29/07/2017	1	1700	FRU0025	Lulo / Libra	1700										
Cliente29	29/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	29/07/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente29	29/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	29/07/2017	10	1450	FRU0046	Tomate Chonto / Libra	14500										
Cliente24	29/07/2017	18	1300	TUB0005	Papa Criolla / Libra	23400										
Cliente24	29/07/2017	14	1500	VER0010	Zucchini Verde / Libra	21000										
Cliente24	29/07/2017	10	400	VER0017	Cilantro / 100 gramos	4000										
Cliente24	29/07/2017	14	1700	VER0012	Cebolla Cabezona Blanca / Libra	23800										
Cliente24	29/07/2017	8	2200	FRU0002	Aguacate Haas / Libra	17600										
Cliente24	29/07/2017	14	1700	VER0039	Pimentón Verde / Libra	23800										
Cliente24	29/07/2017	6	1300	FRU0023	Limón Común / Libra	7800										
Cliente24	29/07/2017	6	7000	VER0016	Champiñón / Libra	42000										
Cliente24	29/07/2017	7	1200	VER0014	Cebolla Larga / Libra	8400										
Cliente24	29/07/2017	13	1500	TUB0012	Zanahoria / Libra	19500										
Cliente24	29/07/2017	1	6000	VER0053	Ajo Nacional / Libra	6000										
Cliente24	29/07/2017	15	2500	VER0020	Espinaca / Libra	37500										
Cliente13	28/07/2017	2	2000	FRU0031	Maracuyá / Libra	4000										
Cliente13	28/07/2017	2	600	VER0051	Perejil Crespo / 100 gramos	1200										
Cliente13	28/07/2017	1	2200	FRU0014	Durazno / Libra	2200										
Cliente13	28/07/2017	1	4300	FRU0037	Papaya Melona / Unidad	4300										
Cliente13	28/07/2017	6	900	FRU0030	Manzana Verde / Unidad	5400										
Cliente13	28/07/2017	1	4500	FRU0022	Kiwi / Libra	4500										
Cliente13	28/07/2017	1	1200	FRU0019	Guayaba / Libra	1200										
Cliente13	28/07/2017	5	1200	FRU0008	Banano Criollo / Libra	6000										
Cliente13	28/07/2017	2	1700	VER0009	Brócoli / Libra	3400										
Cliente13	28/07/2017	4	1800	FRU0016	Fresa Pareja / Libra	7200										
Cliente13	28/07/2017	1	800	VER0047	Tomillo / 100 gramos	800										
Cliente13	28/07/2017	1	800	VER0043	Repollo Morado / Unidad	800										
Cliente13	28/07/2017	1	3500	VER0050	Rúgula / Libra	3500										
Cliente13	28/07/2017	3	1500	TUB0012	Zanahoria / Libra	4500										
Cliente13	28/07/2017	2	2500	FRU0033	Mora Castilla / Libra	5000										
Cliente13	28/07/2017	2	1300	FRU0024	Limón Tahití / Libra	2600										
Cliente13	28/07/2017	1	2500	FRU0015	Feijoa / Libra	2500										
Cliente13	28/07/2017	2	1500	VER0050	Rúgula / Libra	3000										
Cliente13	28/07/2017	2	1500	VER0010	Zucchini Verde / Libra	3000										
Cliente13	28/07/2017	1	1700	VER0038	Pimentón Rojo / Libra	1700										
Cliente13	28/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente13	28/07/2017	6	1300	FRU0028	Mango Tommy Atkins / Libra	7800										
Cliente13	28/07/2017	1	2100	VER0013	Cebolla Cabezona Roja / Libra	2100										
Cliente13	28/07/2017	2	400	VER0017	Cilantro / 100 gramos	800										
Cliente13	28/07/2017	1	2500	TUB0009	Rábano Rojo / Libra	2500										
Cliente13	28/07/2017	2	2200	FRU0002	Aguacate Haas / Libra	4400										
Cliente13	28/07/2017	10	1450	FRU0046	Tomate Chonto / Libra	14500										
Cliente13	28/07/2017	1	550	VER0006	Ahuyama / Libra	550										
Cliente23	28/07/2017	60	1450	FRU0046	Tomate Chonto / Libra	87000										
Cliente23	28/07/2017	15	650	VER0035	Pepino Cohombro / Libra	9750										
Cliente23	28/07/2017	10	2100	VER0013	Cebolla Cabezona Roja / Libra	21000										
Cliente29	26/07/2017	1	1700	VER0012	Cebolla Cabezona Blanca / Libra	1700										
Cliente29	26/07/2017	2	650	VER0035	Pepino Cohombro / Libra	1300										
Cliente29	26/07/2017	3	1300	FRU0023	Limón Común / Libra	3900										
Cliente29	26/07/2017	1	1700	FRU0025	Lulo / Libra	1700										
Cliente29	26/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	26/07/2017	8	1450	FRU0046	Tomate Chonto / Libra	11600										
Cliente29	26/07/2017	7	1400	VER0028	Lechuga Crespa / Unidad	9800										
Cliente21	26/07/2017	4	3000	FRU0057	Fresa Jumbo / Libra	12000										
Cliente21	26/07/2017	4	1500	VER0050	Rúgula / Libra	6000										
Cliente21	26/07/2017	2	700	TUB0006	Papa Pastusa / Libra	1400										
Cliente21	26/07/2017	4	2500	FRU0003	Aguacate Papelillo / Libra	10000										
Cliente21	26/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente21	26/07/2017	2	1600	FRU0048	Tomate Larga Vida / Libra	3200										
Cliente21	26/07/2017	4	1300	FRU0028	Mango Tommy Atkins / Libra	5200										
Cliente21	26/07/2017	8	1500	TUB0012	Zanahoria / Libra	12000										
Cliente21	26/07/2017	16	1200	FRU0008	Banano Criollo / Libra	19200										
Cliente21	26/07/2017	4	2100	VER0013	Cebolla Cabezona Roja / Libra	8400										
Cliente21	26/07/2017	4	1500	VER0010	Zucchini Verde / Libra	6000										
Cliente21	26/07/2017	12	1450	FRU0046	Tomate Chonto / Libra	17400										
Cliente29	26/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	26/07/2017	3	650	FRU0034	Naranja Sweety / Libra	1950										
Cliente29	26/07/2017	2	650	VER0035	Pepino Cohombro / Libra	1300										
Cliente29	26/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	26/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente29	26/07/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente29	24/07/2017	3	650	VER0035	Pepino Cohombro / Libra	1950										
Cliente29	24/07/2017	2	800	TUB0004	Jengibre / 100 gramos	1600										
Cliente29	24/07/2017	4	650	FRU0034	Naranja Sweety / Libra	2600										
Cliente29	24/07/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente29	24/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente29	24/07/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente15	23/07/2017	1	1500	TUB0012	Zanahoria / Libra	1500										
Cliente15	23/07/2017	5	400	VER0017	Cilantro / 100 gramos	2000										
Cliente15	23/07/2017	2	2100	VER0013	Cebolla Cabezona Roja / Libra	4200										
Cliente15	23/07/2017	4	1200	VER0005	Apio / Libra	4800										
Cliente15	23/07/2017	1	6800	VER0002	Ajo Importado / Libra	6800										
Cliente15	23/07/2017	6	3000	FRU0057	Fresa Jumbo / Libra	18000										
Cliente15	23/07/2017	12	1200	FRU0008	Banano Criollo / Libra	14400										
Cliente21	23/07/2017	12	1500	VER0050	Rúgula / Libra	18000										
Cliente21	23/07/2017	4	3000	FRU0057	Fresa Jumbo / Libra	12000										
Cliente21	23/07/2017	4	1200	FRU0019	Guayaba / Libra	4800										
Cliente21	23/07/2017	3	800	VER0043	Repollo Morado / Unidad	2400										
Cliente21	23/07/2017	1	1300	FRU0023	Limón Común / Libra	1300										
Cliente21	23/07/2017	1	1200	VER0052	Plátano Maduro / Libra	1200										
Cliente21	23/07/2017	3	1300	TUB0005	Papa Criolla / Libra	3900										
Cliente21	23/07/2017	5	550	VER0006	Ahuyama / Libra	2750										
Cliente21	23/07/2017	2	5000	FRU0032	Melón / Unidad	10000										
Cliente21	23/07/2017	2	2500	FRU0003	Aguacate Papelillo / Libra	5000										
Cliente21	23/07/2017	2	1200	VER0005	Apio / Libra	2400										
Cliente21	23/07/2017	3	1700	VER0009	Brócoli / Libra	5100										
Cliente21	23/07/2017	3	1600	FRU0048	Tomate Larga Vida / Libra	4800										
Cliente21	23/07/2017	1	1000	TUB0008	Papa Sabanera / Libra	1000										
Cliente21	23/07/2017	8	1300	FRU0028	Mango Tommy Atkins / Libra	10400										
Cliente21	23/07/2017	10	1500	TUB0012	Zanahoria / Libra	15000										
Cliente21	23/07/2017	2	2500	VER0020	Espinaca / Libra	5000										
Cliente21	23/07/2017	8	1200	FRU0008	Banano Criollo / Libra	9600										
Cliente21	23/07/2017	1	2500	FRU0033	Mora Castilla / Libra	2500										
Cliente21	23/07/2017	1	1200	VER0014	Cebolla Larga / Libra	1200										
Cliente21	23/07/2017	8	2100	VER0013	Cebolla Cabezona Roja / Libra	16800										
Cliente21	23/07/2017	2	1700	VER0038	Pimentón Rojo / Libra	3400										
Cliente21	23/07/2017	12	1500	VER0010	Zucchini Verde / Libra	18000										
Cliente21	23/07/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente21	23/07/2017	12	1450	FRU0046	Tomate Chonto / Libra	17400										
Cliente29	22/07/2017	4	1300	FRU0024	Limón Tahití / Libra	5200										
Cliente29	22/07/2017	1	1700	VER0012	Cebolla Cabezona Blanca / Libra	1700										
Cliente29	22/07/2017	4	2500	FRU0049	Uchuva / Libra	10000										
Cliente29	22/07/2017	2	650	VER0035	Pepino Cohombro / Libra	1300										
Cliente29	22/07/2017	1	1000	FRU0026	Mandarina Arrayana / Libra	1000										
Cliente29	22/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	22/07/2017	7	1400	VER0028	Lechuga Crespa / Unidad	9800										
Cliente29	22/07/2017	2	7000	VER0016	Champiñón / Libra	14000										
Cliente29	22/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente21	20/07/2017	2	1200	FRU0019	Guayaba / Libra	2400										
Cliente21	20/07/2017	1	3000	FRU0057	Fresa Jumbo / Libra	3000										
Cliente21	20/07/2017	1	2500	FRU0015	Feijoa / Libra	2500										
Cliente21	20/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente21	20/07/2017	2	800	VER0043	Repollo Morado / Unidad	1600										
Cliente21	20/07/2017	1	12000	VER0019	Esparrago / Libra	12000										
Cliente21	20/07/2017	1	6800	VER0002	Ajo Importado / Libra	6800										
Cliente21	20/07/2017	1	2200	FRU0014	Durazno / Libra	2200										
Cliente21	20/07/2017	1	3000	FRU0045	Tomate Cherry / Libra	3000										
Cliente21	20/07/2017	3	1600	FRU0048	Tomate Larga Vida / Libra	4800										
Cliente21	20/07/2017	1	600	VER0054	Calabacín / Libra	600										
Cliente21	20/07/2017	1	1500	VER0050	Rúgula / Libra	1500										
Cliente21	20/07/2017	1	550	VER0006	Ahuyama / Libra	550										
Cliente21	20/07/2017	1	1600	VER0041	Puerro / Libra	1600										
Cliente21	20/07/2017	1	1400	FRU0007	Banano Bocadillo / Libra	1400										
Cliente21	20/07/2017	1	1200	VER0052	Plátano Maduro / Libra	1200										
Cliente21	20/07/2017	1	1200	TUB0011	Yuca / Libra	1200										
Cliente21	20/07/2017	1	1300	VER0024	Habichuela / Libra	1300										
Cliente21	20/07/2017	1	1300	TUB0005	Papa Criolla / Libra	1300										
Cliente21	20/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente21	20/07/2017	1	2500	FRU0003	Aguacate Papelillo / Libra	2500										
Cliente21	20/07/2017	1	1200	VER0005	Apio / Libra	1200										
Cliente21	20/07/2017	1	400	VER0017	Cilantro / 100 gramos	400										
Cliente21	20/07/2017	1	1700	VER0009	Brócoli / Libra	1700										
Cliente21	20/07/2017	9	1500	TUB0012	Zanahoria / Libra	13500										
Cliente21	20/07/2017	5	2100	VER0013	Cebolla Cabezona Roja / Libra	10500										
Cliente21	20/07/2017	1	1700	VER0038	Pimentón Rojo / Libra	1700										
Cliente21	20/07/2017	3	1300	FRU0024	Limón Tahití / Libra	3900										
Cliente21	20/07/2017	1	1500	VER0010	Zucchini Verde / Libra	1500										
Cliente21	18/07/2017	4	900	FRU0030	Manzana Verde / Unidad	3600										
Cliente21	18/07/2017	3	3000	FRU0057	Fresa Jumbo / Libra	9000										
Cliente21	18/07/2017	2	1700	VER0009	Brócoli / Libra	3400										
Cliente21	18/07/2017	3	2500	FRU0003	Aguacate Papelillo / Libra	7500										
Cliente21	18/07/2017	6	1700	VER0038	Pimentón Rojo / Libra	10200										
Cliente21	18/07/2017	1	4800	FRU0039	Patilla Baby / Unidad	4800										
Cliente21	18/07/2017	4	1200	FRU0020	Guayaba Pera / Libra	4800										
Cliente21	18/07/2017	4	1300	TUB0005	Papa Criolla / Libra	5200										
Cliente21	18/07/2017	4	1000	TUB0001	Arracacha / Libra	4000										
Cliente21	18/07/2017	4	1450	FRU0046	Tomate Chonto / Libra	5800										
Cliente21	18/07/2017	2	3000	FRU0042	Piña Golden Sweet / Unidad	6000										
Cliente21	18/07/2017	6	1300	FRU0028	Mango Tommy Atkins / Libra	7800										
Cliente21	18/07/2017	4	1500	VER0010	Zucchini Verde / Libra	6000										
Cliente21	18/07/2017	4	1500	VER0050	Rúgula / Libra	6000										
Cliente21	18/07/2017	2	1200	VER0052	Plátano Maduro / Libra	2400										
Cliente21	18/07/2017	4	1500	TUB0012	Zanahoria / Libra	6000										
Cliente21	18/07/2017	4	2100	VER0013	Cebolla Cabezona Roja / Libra	8400										
Cliente21	18/07/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente24	18/07/2017	9	1500	TUB0012	Zanahoria / Libra	13500										
Cliente24	18/07/2017	4	3500	VER0050	Rúgula / Libra	14000										
Cliente24	18/07/2017	14	800	VER0043	Repollo Morado / Unidad	11200										
Cliente24	18/07/2017	20	650	VER0035	Pepino Cohombro / Libra	13000										
Cliente24	18/07/2017	20	700	TUB0006	Papa Pastusa / Libra	14000										
Cliente24	18/07/2017	8	1300	FRU0023	Limón Común / Libra	10400										
Cliente24	18/07/2017	12	800	TUB0004	Jengibre / 100 gramos	9600										
Cliente24	18/07/2017	5	1200	VER0014	Cebolla Larga / Libra	6000										
Cliente24	18/07/2017	2	6000	VER0053	Ajo Nacional / Libra	12000										
Cliente13	18/07/2017	1	4500	FRU0022	Kiwi / Libra	4500										
Cliente13	18/07/2017	1	3500	VER0050	Rúgula / Libra	3500										
Cliente13	18/07/2017	1	650	VER0035	Pepino Cohombro / Libra	650										
Cliente13	18/07/2017	10	1800	FRU0016	Fresa Pareja / Libra	18000										
Cliente13	18/07/2017	6	650	FRU0034	Naranja Sweety / Libra	3900										
Cliente13	18/07/2017	1	600	TUB0010	Remolacha / Libra	600										
Cliente13	18/07/2017	1	1200	VER0052	Plátano Maduro / Libra	1200										
Cliente13	18/07/2017	4	1500	VER0050	Rúgula / Libra	6000										
Cliente13	18/07/2017	1	2500	VER0020	Espinaca / Libra	2500										
Cliente13	18/07/2017	1	1100	FRU0040	Pera Importada / Unidad	1100										
Cliente13	18/07/2017	2	2100	VER0013	Cebolla Cabezona Roja / Libra	4200										
Cliente13	18/07/2017	2	400	VER0017	Cilantro / 100 gramos	800										
Cliente13	18/07/2017	3	2500	FRU0033	Mora Castilla / Libra	7500										
Cliente13	18/07/2017	2	1300	TUB0005	Papa Criolla / Libra	2600										
Cliente13	18/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente13	18/07/2017	6	900	FRU0030	Manzana Verde / Unidad	5400										
Cliente13	18/07/2017	1	1300	FRU0028	Mango Tommy Atkins / Libra	1300										
Cliente13	18/07/2017	5	1200	FRU0008	Banano Criollo / Libra	6000										
Cliente13	18/07/2017	1	2200	FRU0002	Aguacate Haas / Libra	2200										
Cliente13	18/07/2017	2	1500	TUB0012	Zanahoria / Libra	3000										
Cliente13	18/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente13	18/07/2017	4	1500	VER0010	Zucchini Verde / Libra	6000										
Cliente13	18/07/2017	1	800	VER0043	Repollo Morado / Unidad	800										
Cliente13	18/07/2017	1	2500	TUB0009	Rábano Rojo / Libra	2500										
Cliente13	18/07/2017	2	1700	VER0009	Brócoli / Libra	3400										
Cliente23	17/07/2017	15	1700	VER0039	Pimentón Verde / Libra	25500										
Cliente23	17/07/2017	10	650	VER0035	Pepino Cohombro / Libra	6500										
Cliente23	17/07/2017	25	2100	VER0013	Cebolla Cabezona Roja / Libra	52500										
Cliente23	17/07/2017	30	1450	FRU0046	Tomate Chonto / Libra	43500										
Cliente29	17/07/2017	1	650	VER0044	Romero / 100 gramos	650										
Cliente29	17/07/2017	1	2500	FRU0033	Mora Castilla / Libra	2500										
Cliente29	17/07/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	17/07/2017	1	650	VER0035	Pepino Cohombro / Libra	650										
Cliente29	17/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	17/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente29	17/07/2017	1	1300	FRU0024	Limón Tahití / Libra	1300										
Cliente29	17/07/2017	1	4800	FRU0039	Patilla Baby / Unidad	4800										
Cliente29	17/07/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	17/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	17/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente29	17/07/2017	1	1200	FRU0020	Guayaba Pera / Libra	1200										
Cliente29	17/07/2017	1	1500	FRU0056	Pera Nacional / Libra	1500										
Cliente29	17/07/2017	1	1000	FRU0055	Mandarina Oneco / Libra	1000										
Cliente29	17/07/2017	1	650	VER0035	Pepino Cohombro / Libra	650										
Cliente29	17/07/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	17/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	17/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente21	16/07/2017	1	12000	VER0019	Esparrago / Libra	12000										
Cliente21	16/07/2017	4	3800	VER0004	Alcachofa / Libra	15200										
Cliente21	16/07/2017	2	600	TUB0010	Remolacha / Libra	1200										
Cliente21	16/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente21	16/07/2017	1	4500	FRU0022	Kiwi / Libra	4500										
Cliente21	16/07/2017	3	550	VER0006	Ahuyama / Libra	1650										
Cliente21	16/07/2017	3	4300	FRU0037	Papaya Melona / Unidad	12900										
Cliente21	16/07/2017	2	1200	VER0005	Apio / Libra	2400										
Cliente21	16/07/2017	3	1600	FRU0048	Tomate Larga Vida / Libra	4800										
Cliente21	16/07/2017	6	1500	TUB0012	Zanahoria / Libra	9000										
Cliente21	16/07/2017	10	1200	FRU0008	Banano Criollo / Libra	12000										
Cliente21	16/07/2017	1	2500	FRU0033	Mora Castilla / Libra	2500										
Cliente21	16/07/2017	4	2100	VER0013	Cebolla Cabezona Roja / Libra	8400										
Cliente21	16/07/2017	1	1300	FRU0024	Limón Tahití / Libra	1300										
Cliente21	16/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente29	16/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	16/07/2017	1	2000	FRU0053	Manzana Nacional / Libra	2000										
Cliente29	16/07/2017	2	1300	FRU0024	Limón Tahití / Libra	2600										
Cliente29	16/07/2017	2	1800	FRU0016	Fresa Pareja / Libra	3600										
Cliente29	16/07/2017	1	2200	FRU0014	Durazno / Libra	2200										
Cliente29	16/07/2017	2	650	VER0035	Pepino Cohombro / Libra	1300										
Cliente29	16/07/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	16/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente22	16/07/2017	7	3500	GRA0006	Mazorca Desgranada / Libra	24500										
Cliente22	16/07/2017	7	1200	VER0052	Plátano Maduro / Libra	8400										
Cliente22	16/07/2017	10	900	FRU0029	Manzana Roja / Unidad	9000										
Cliente22	16/07/2017	7	1200	FRU0008	Banano Criollo / Libra	8400										
Cliente13	14/07/2017	2	2300	FRU0054	Fresa Grande / Libra	4600										
Cliente13	14/07/2017	8	1500	TUB0012	Zanahoria / Libra	12000										
Cliente13	14/07/2017	2	1700	VER0038	Pimentón Rojo / Libra	3400										
Cliente13	14/07/2017	1	2500	FRU0033	Mora Castilla / Libra	2500										
Cliente13	14/07/2017	3	1300	FRU0028	Mango Tommy Atkins / Libra	3900										
Cliente13	14/07/2017	2	1400	VER0028	Lechuga Crespa / Unidad	2800										
Cliente13	14/07/2017	1	1200	FRU0019	Guayaba / Libra	1200										
Cliente13	14/07/2017	4	1800	FRU0016	Fresa Pareja / Libra	7200										
Cliente13	14/07/2017	1	2200	FRU0014	Durazno / Libra	2200										
Cliente13	14/07/2017	2	2100	VER0013	Cebolla Cabezona Roja / Libra	4200										
Cliente13	14/07/2017	2	1700	VER0009	Brócoli / Libra	3400										
Cliente13	14/07/2017	3	500	VER0003	Albahaca / 100 gramos	1500										
Cliente13	14/07/2017	1	2200	FRU0002	Aguacate Haas / Libra	2200										
Cliente13	14/07/2017	2	1300	FRU0024	Limón Tahití / Libra	2600										
Cliente13	14/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente13	14/07/2017	1	600	VER0051	Perejil Crespo / 100 gramos	600										
Cliente13	14/07/2017	12	650	FRU0034	Naranja Sweety / Libra	7800										
Cliente13	14/07/2017	5	900	FRU0030	Manzana Verde / Unidad	4500										
Cliente13	14/07/2017	1	700	VER0049	Yerbabuena / 100 gramos	700										
Cliente13	14/07/2017	2	3500	VER0050	Rúgula / Libra	7000										
Cliente13	14/07/2017	3	1500	VER0050	Rúgula / Libra	4500										
Cliente13	14/07/2017	3	1500	VER0010	Zucchini Verde / Libra	4500										
Cliente13	14/07/2017	1	1200	VER0005	Apio / Libra	1200										
Cliente13	14/07/2017	1	550	VER0006	Ahuyama / Libra	550										
Cliente13	14/07/2017	1	1300	TUB0005	Papa Criolla / Libra	1300										
Cliente13	14/07/2017	1	1000	TUB0008	Papa Sabanera / Libra	1000										
Cliente13	14/07/2017	8	1200	FRU0008	Banano Criollo / Libra	9600										
Cliente21	14/07/2017	4	1450	FRU0046	Tomate Chonto / Libra	5800										
Cliente21	14/07/2017	2	1200	FRU0019	Guayaba / Libra	2400										
Cliente21	14/07/2017	1	800	VER0043	Repollo Morado / Unidad	800										
Cliente21	14/07/2017	2	1200	VER0052	Plátano Maduro / Libra	2400										
Cliente21	14/07/2017	2	1900	FRU0018	Guanabana / Unidad	3800										
Cliente21	14/07/2017	4	600	TUB0010	Remolacha / Libra	2400										
Cliente21	14/07/2017	2	1700	VER0009	Brócoli / Libra	3400										
Cliente21	14/07/2017	1	400	VER0017	Cilantro / 100 gramos	400										
Cliente21	14/07/2017	8	1500	TUB0012	Zanahoria / Libra	12000										
Cliente21	14/07/2017	3	3000	FRU0042	Piña Golden Sweet / Unidad	9000										
Cliente21	14/07/2017	6	1700	VER0038	Pimentón Rojo / Libra	10200										
Cliente21	14/07/2017	2	7000	VER0016	Champiñón / Libra	14000										
Cliente21	13/07/2017	1	1300	FRU0024	Limón Tahití / Libra	1300										
Cliente21	13/07/2017	16	1500	VER0010	Zucchini Verde / Libra	24000										
Cliente21	13/07/2017	16	1500	VER0050	Rúgula / Libra	24000										
Cliente21	13/07/2017	8	2100	VER0013	Cebolla Cabezona Roja / Libra	16800										
Cliente21	13/07/2017	2	2000	FRU0036	Papaya Hawaiana / Unidad	4000										
Cliente21	13/07/2017	6	1450	FRU0046	Tomate Chonto / Libra	8700										
Cliente21	13/07/2017	2	1300	FRU0028	Mango Tommy Atkins / Libra	2600										
Cliente21	13/07/2017	8	900	FRU0030	Manzana Verde / Unidad	7200										
Cliente21	13/07/2017	2	1900	FRU0018	Guanabana / Unidad	3800										
Cliente21	13/07/2017	1	2500	TUB0009	Rábano Rojo / Libra	2500										
Cliente21	13/07/2017	1	700	TUB0006	Papa Pastusa / Libra	700										
Cliente21	13/07/2017	1	1300	TUB0005	Papa Criolla / Libra	1300										
Cliente21	13/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente21	13/07/2017	1	1200	VER0005	Apio / Libra	1200										
Cliente21	13/07/2017	4	550	VER0006	Ahuyama / Libra	2200										
Cliente21	13/07/2017	6	1200	FRU0008	Banano Criollo / Libra	7200										
Cliente21	13/07/2017	2	2500	FRU0003	Aguacate Papelillo / Libra	5000										
Cliente29	12/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	12/07/2017	1	1100	FRU0027	Mango Azúcar / Libra	1100										
Cliente29	12/07/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	12/07/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	12/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente23	12/07/2017	80	1450	FRU0046	Tomate Chonto / Libra	116000										
Cliente23	12/07/2017	20	2100	VER0013	Cebolla Cabezona Roja / Libra	42000										
Cliente23	12/07/2017	20	650	VER0035	Pepino Cohombro / Libra	13000										
Cliente13	12/07/2017	4	1500	VER0050	Rúgula / Libra	6000										
Cliente29	11/07/2017	1	2000	FRU0031	Maracuyá / Libra	2000										
Cliente29	11/07/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	11/07/2017	2	650	VER0035	Pepino Cohombro / Libra	1300										
Cliente29	11/07/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente29	11/07/2017	10	1450	FRU0046	Tomate Chonto / Libra	14500										
Cliente29	11/07/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente29	10/07/2017	3	650	VER0035	Pepino Cohombro / Libra	1950										
Cliente29	10/07/2017	2	800	TUB0004	Jengibre / 100 gramos	1600										
Cliente29	10/07/2017	4	650	FRU0034	Naranja Sweety / Libra	2600										
Cliente29	10/07/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente29	10/07/2017	9	1450	FRU0046	Tomate Chonto / Libra	13050										
Cliente29	10/07/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente21	10/07/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente21	10/07/2017	6	1200	FRU0008	Banano Criollo / Libra	7200										
Cliente21	10/07/2017	6	1700	VER0009	Brócoli / Libra	10200										
Cliente21	10/07/2017	1	1900	FRU0018	Guanabana / Unidad	1900										
Cliente21	10/07/2017	1	2500	TUB0009	Rábano Rojo / Libra	2500										
Cliente21	10/07/2017	2	800	VER0043	Repollo Morado / Unidad	1600										
Cliente21	10/07/2017	7	1100	FRU0040	Pera Importada / Unidad	7700										
Cliente21	10/07/2017	4	2500	FRU0003	Aguacate Papelillo / Libra	10000										
Cliente21	10/07/2017	4	1300	TUB0005	Papa Criolla / Libra	5200										
Cliente21	10/07/2017	1	1300	FRU0024	Limón Tahití / Libra	1300										
Cliente21	10/07/2017	4	1700	VER0038	Pimentón Rojo / Libra	6800										
Cliente21	10/07/2017	10	1500	TUB0012	Zanahoria / Libra	15000										
