Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	Importancia		0.314049587		Etiquetas de fila	Suma de Importancia	Suma de Importancia2		Etiquetas de fila	Suma de Importancia	Suma de Importancia2
Cliente3	2/09/2017	1	4500	VER0050	Rúgula / Libra	4500										
Cliente3	2/09/2017	2	3500	VER0043	Repollo Morado / Unidad	7000										
Cliente3	2/09/2017	8	1500	VER0038	Pimentón Rojo / Libra	12000										
Cliente3	2/09/2017	3	900	VER0035	Pepino Cohombro / Libra	2700										
Cliente3	2/09/2017	2	1400	VER0028	Lechuga Crespa / Unidad	2800										
Cliente3	2/09/2017	2	1400	VER0020	Espinaca / Libra	2800										
Cliente3	2/09/2017	1	500	VER0017	Cilantro / 100 gramos	500										
Cliente3	2/09/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente3	2/09/2017	1	1200	VER0012	Cebolla Cabezona Blanca / Libra	1200										
Cliente3	2/09/2017	3	1600	VER0013	Cebolla Cabezona Roja / Libra	4800										
Cliente3	2/09/2017	2	1900	VER0009	Brócoli / Libra	3800										
Cliente3	2/09/2017	2	1100	VER0005	Apio / Libra	2200										
Cliente3	2/09/2017	5	900	VER0003	Albahaca / 100 gramos	4500										
Cliente3	2/09/2017	4	700	TUB0006	Papa Pastusa / Libra	2800										
Cliente3	2/09/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente3	2/09/2017	2	1400	TUB0010	Remolacha / Libra	2800										
Cliente3	2/09/2017	5	1000	TUB0012	Zanahoria / Libra	5000										
Cliente3	2/09/2017	4	3000	GRA0006	Mazorca Desgranada / Libra	12000										
Cliente3	2/09/2017	14	1300	FRU0046	Tomate Chonto / Libra	18200										
Cliente3	2/09/2017	2	4000	FRU0045	Tomate Cherry / Libra	8000										
Cliente3	2/09/2017	3	1700	FRU0025	Lulo / Libra	5100										
Cliente3	2/09/2017	2	1200	FRU0024	Limón Tahití / Libra	2400										
Cliente3	2/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	6000										
Cliente26	31/08/2017	2	1200	FRU0023	Limón Común / Libra	2400										
Cliente26	31/08/2017	3	650	FRU0034	Naranja Sweety / Libra	1950										
Cliente26	31/08/2017	10	1400	FRU0048	Tomate Larga Vida / Libra	14000										
Cliente26	31/08/2017	14	1200	TUB0012	Zanahoria / Libra	16800										
Cliente26	31/08/2017	10	1100	VER0010	Zucchini Verde / Libra	11000										
Cliente26	31/08/2017	1	5700	VER0053	Ajo Nacional / Libra	5700										
Cliente26	31/08/2017	4	1600	VER0041	Puerro / Libra	6400										
Cliente26	31/08/2017	20	1000	VER0052	Plátano Maduro / Libra	20000										
Cliente26	31/08/2017	18	1500	VER0038	Pimentón Rojo / Libra	27000										
Cliente26	31/08/2017	12	1200	VER0012	Cebolla Cabezona Blanca / Libra	14400										
Cliente26	31/08/2017	4	1200	VER0007	Berenjena / Libra	4800										
Cliente21	31/08/2017	1	800	VER0037	Perejil Liso / 100 gramos	800										
Cliente21	31/08/2017	10	1100	FRU0040	Pera Importada / Unidad	11000										
Cliente21	31/08/2017	2	1300	TUB0005	Papa Criolla / Libra	2600										
Cliente21	31/08/2017	8	1000	VER0052	Plátano Maduro / Libra	8000										
Cliente21	31/08/2017	6	700	VER0006	Ahuyama / Libra	4200										
Cliente21	31/08/2017	4	1000	TUB0001	Arracacha / Libra	4000										
Cliente21	31/08/2017	4	1400	FRU0048	Tomate Larga Vida / Libra	5600										
Cliente21	31/08/2017	4	1100	VER0005	Apio / Libra	4400										
Cliente21	31/08/2017	4	2000	FRU0003	Aguacate Papelillo / Libra	8000										
Cliente21	31/08/2017	6	2800	FRU0028	Mango Tommy Atkins / Libra	16800										
Cliente21	31/08/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	3500										
Cliente21	31/08/2017	8	1500	FRU0016	Fresa Pareja / Libra	12000										
Cliente21	31/08/2017	12	1100	FRU0008	Banano Criollo / Libra	13200										
Cliente21	31/08/2017	1	2100	FRU0033	Mora Castilla / Libra	2100										
Cliente21	31/08/2017	10	1200	TUB0012	Zanahoria / Libra	12000										
Cliente21	31/08/2017	10	1600	VER0013	Cebolla Cabezona Roja / Libra	16000										
Cliente21	31/08/2017	1	1200	FRU0024	Limón Tahití / Libra	1200										
Cliente21	31/08/2017	8	1100	VER0010	Zucchini Verde / Libra	8800										
Cliente21	31/08/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente21	31/08/2017	10	1300	FRU0046	Tomate Chonto / Libra	13000										
Cliente11	30/08/2017	12	900	FRU0029	Manzana Roja / Unidad	10800										
Cliente11	30/08/2017	4	1100	FRU0008	Banano Criollo / Libra	4400										
Cliente11	30/08/2017	10	3500	GRA0006	Mazorca Desgranada / Libra	35000										
Cliente3	30/08/2017	6	700	TUB0006	Papa Pastusa / Libra	4200										
Cliente3	30/08/2017	1	800	VER0047	Tomillo / 100 gramos	800										
Cliente3	30/08/2017	3	1100	VER0052	Plátano Maduro / Libra	3300										
Cliente3	30/08/2017	2	800	VER0035	Pepino Cohombro / Libra	1600										
Cliente3	30/08/2017	2	1400	VER0028	Lechuga Crespa / Unidad	2800										
Cliente3	30/08/2017	1	2200	VER0020	Espinaca / Libra	2200										
Cliente3	30/08/2017	1	500	VER0017	Cilantro / 100 gramos	500										
Cliente3	30/08/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente3	30/08/2017	2	1800	VER0013	Cebolla Cabezona Roja / Libra	3600										
Cliente3	30/08/2017	2	1900	VER0009	Brócoli / Libra	3800										
Cliente3	30/08/2017	4	1500	VER0007	Berenjena / Libra	6000										
Cliente3	30/08/2017	1	600	TUB0010	Remolacha / Libra	600										
Cliente3	30/08/2017	4	1500	TUB0012	Zanahoria / Libra	6000										
Cliente3	30/08/2017	1	800	TUB0004	Jengibre / 100 gramos	800										
Cliente3	30/08/2017	2	3500	GRA0006	Mazorca Desgranada / Libra	7000										
Cliente3	30/08/2017	7	1400	FRU0046	Tomate Chonto / Libra	9800										
Cliente3	30/08/2017	2	3500	FRU0045	Tomate Cherry / Libra	7000										
Cliente3	30/08/2017	4	650	FRU0034	Naranja Sweety / Libra	2600										
Cliente3	30/08/2017	1	1200	FRU0024	Limón Tahití / Libra	1200										
Cliente3	30/08/2017	2	2000	FRU0012	Ciruela / Libra	4000										
Cliente3	30/08/2017	3	1400	FRU0007	Banano Bocadillo / Libra	4200										
Cliente3	30/08/2017	1	2400	FRU0003	Aguacate Papelillo / Libra	2400										
Cliente29	30/08/2017	1	7000	GRA0001	Arveja Desgranada / Libra	7000										
Cliente29	30/08/2017	1	3500	GRA0006	Mazorca Desgranada / Libra	3500										
Cliente29	30/08/2017	1	1100	VER0005	Apio / Libra	1100										
Cliente29	30/08/2017	1	700	VER0049	Yerbabuena / 100 gramos	700										
Cliente29	30/08/2017	2	800	VER0035	Pepino Cohombro / Libra	1600										
Cliente29	30/08/2017	1	1500	FRU0027	Mango Azúcar / Libra	1500										
Cliente29	30/08/2017	1	4500	FRU0032	Melón / Unidad	4500										
Cliente29	30/08/2017	1	1700	FRU0025	Lulo / Libra	1700										
Cliente29	30/08/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente29	30/08/2017	2	1200	FRU0024	Limón Tahití / Libra	2400										
Cliente29	30/08/2017	2	1400	VER0012	Cebolla Cabezona Blanca / Libra	2800										
Cliente29	30/08/2017	8	1400	FRU0046	Tomate Chonto / Libra	11200										
Cliente29	30/08/2017	3	1400	VER0028	Lechuga Crespa / Unidad	4200										
Cliente26	29/08/2017	3	500	VER0017	Cilantro / 100 gramos	1500										
Cliente26	29/08/2017	8	1200	VER0014	Cebolla Larga / Libra	9600										
Cliente26	29/08/2017	9	800	VER0051	Perejil Crespo / 100 gramos	7200										
Cliente26	29/08/2017	6	1600	VER0041	Puerro / Libra	9600										
Cliente26	29/08/2017	16	1600	VER0038	Pimentón Rojo / Libra	25600										
Cliente26	29/08/2017	8	1100	VER0010	Zucchini Verde / Libra	8800										
Cliente26	29/08/2017	60	1100	VER0052	Plátano Maduro / Libra	66000										
Cliente26	29/08/2017	14	1400	FRU0046	Tomate Chonto / Libra	19600										
Cliente26	29/08/2017	10	1600	FRU0048	Tomate Larga Vida / Libra	16000										
Cliente26	29/08/2017	30	1500	TUB0012	Zanahoria / Libra	45000										
Cliente26	29/08/2017	54	1400	VER0012	Cebolla Cabezona Blanca / Libra	75600										
Cliente29	28/08/2017	1	1000	VER0044	Romero / 100 gramos	1000										
Cliente29	28/08/2017	1	2200	FRU0033	Mora Castilla / Libra	2200										
Cliente29	28/08/2017	9	1400	VER0028	Lechuga Crespa / Unidad	12600										
Cliente29	28/08/2017	1	800	VER0035	Pepino Cohombro / Libra	800										
Cliente29	28/08/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	28/08/2017	9	1400	FRU0046	Tomate Chonto / Libra	12600										
Cliente29	28/08/2017	1	800	VER0035	Pepino Cohombro / Libra	800										
Cliente29	28/08/2017	1	1600	FRU0016	Fresa Pareja / Libra	1600										
Cliente29	28/08/2017	1	3000	FRU0042	Piña Golden Sweet / Unidad	3000										
Cliente29	28/08/2017	2	1200	FRU0024	Limón Tahití / Libra	2400										
Cliente29	28/08/2017	3	7000	VER0016	Champiñón / Libra	21000										
Cliente29	28/08/2017	9	1400	FRU0046	Tomate Chonto / Libra	12600										
Cliente29	28/08/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente26	28/08/2017	2	1600	FRU0048	Tomate Larga Vida / Libra	3200										
Cliente26	28/08/2017	2	1400	FRU0046	Tomate Chonto / Libra	2800										
Cliente26	28/08/2017	12	1500	TUB0012	Zanahoria / Libra	18000										
Cliente26	28/08/2017	4	1100	VER0010	Zucchini Verde / Libra	4400										
Cliente26	28/08/2017	20	1100	VER0052	Plátano Maduro / Libra	22000										
Cliente26	28/08/2017	2	500	VER0017	Cilantro / 100 gramos	1000										
Cliente3	28/08/2017	1	700	VER0049	Yerbabuena / 100 gramos	700										
Cliente3	28/08/2017	1	4500	VER0050	Rúgula / Libra	4500										
Cliente3	28/08/2017	2	1600	VER0038	Pimentón Rojo / Libra	3200										
Cliente3	28/08/2017	1	800	VER0037	Perejil Liso / 100 gramos	800										
Cliente3	28/08/2017	2	800	VER0035	Pepino Cohombro / Libra	1600										
Cliente3	28/08/2017	2	1400	VER0028	Lechuga Crespa / Unidad	2800										
Cliente3	28/08/2017	1	2200	VER0020	Espinaca / Libra	2200										
Cliente3	28/08/2017	1	500	VER0017	Cilantro / 100 gramos	500										
Cliente3	28/08/2017	4	7000	VER0016	Champiñón / Libra	28000										
Cliente3	28/08/2017	3	1800	VER0013	Cebolla Cabezona Roja / Libra	5400										
Cliente3	28/08/2017	3	500	VER0003	Albahaca / 100 gramos	1500										
Cliente3	28/08/2017	2	1100	VER0005	Apio / Libra	2200										
Cliente3	28/08/2017	4	1500	VER0007	Berenjena / Libra	6000										
Cliente3	28/08/2017	5	1500	TUB0012	Zanahoria / Libra	7500										
Cliente3	28/08/2017	1	1000	TUB0001	Arracacha / Libra	1000										
Cliente3	28/08/2017	4	3500	GRA0006	Mazorca Desgranada / Libra	14000										
Cliente3	28/08/2017	3	1800	FRU0031	Maracuyá / Libra	5400										
Cliente3	28/08/2017	2	3500	FRU0045	Tomate Cherry / Libra	7000										
Cliente3	28/08/2017	5	1400	FRU0046	Tomate Chonto / Libra	7000										
Cliente3	28/08/2017	3	2400	FRU0003	Aguacate Papelillo / Libra	7200										
Cliente3	28/08/2017	1	6800	VER0002	Ajo Importado / Libra	6800										
Cliente21	28/08/2017	2	2300	FRU0054	Fresa Grande / Libra	4600										
Cliente21	28/08/2017	2	700	TUB0006	Papa Pastusa / Libra	1400										
Cliente21	28/08/2017	2	1300	TUB0005	Papa Criolla / Libra	2600										
Cliente21	28/08/2017	1	2400	FRU0003	Aguacate Papelillo / Libra	2400										
